961,New+York,Manager – Model Risk Management Data Scientist,American Express,"New York, NY","Must have a deep understanding in Machine Learning models (e.g., Gradient. Experience in large data. Evaluate new machine....","$140,000 a year"
860,New+York,Statistician Analyst,American National Family of Companies,"Glenmont, NY","Find enjoyment in both an autonomous and team-environment, being an available subject expert (SME) regarding system changes and the needs of reporting functions...","$6,250 - $10,833 a month"
924,New+York,Statistician Analyst,American National Family of Companies,"Glenmont, NY","Find enjoyment in both an autonomous and team-environment, being an available subject expert (SME) regarding system changes and the needs of reporting functions...","$6,250 - $10,833 a month"
949,New+York,Prize Winning Data Scientist Needed (Remote) Hedge Fund,Analytic Recruiting,"New York, NY 10017 (Midtown area)","Prize Winning, Predictive Modeling, Data Science, Data Analytics, Marketing Analytics, Healthcare Modeling. Must have 5+ years of hands on experience as a data...","$6,250 - $10,833 a month"
1035,New+York,Prize Winning Data Scientist Needed (Remote) Hedge Fund,Analytic Recruiting,"New York, NY 10017 (Midtown area)","Prize Winning, Predictive Modeling, Data Science, Data Analytics, Marketing Analytics, Healthcare Modeling. Must have 5+ years of hands on experience as a data...","$6,250 - $10,833 a month"
1450,New+York,Data Scientist-Research Analyst,Analytic Recruiting,"New York, NY 10017 (Midtown area)","Alternative Data, Unstructured Data, Machine Learning, Business Intelligence, Text Mining, Data Scientist, Web Scraping, SQL, Parsing, Python, Scripting, Data...","$6,250 - $10,833 a month"
1546,New+York,Data Scientist-Research Analyst,Analytic Recruiting,"New York, NY 10017 (Midtown area)","Alternative Data, Unstructured Data, Machine Learning, Business Intelligence, Text Mining, Data Scientist, Web Scraping, SQL, Parsing, Python, Scripting, Data...","$6,250 - $10,833 a month"
1765,New+York,"Quantitative Risk Analyst (MS, SAS)- Mortgage Models",Analytic Recruiting,"New York, NY 10017 (Midtown area)","Improve data gathering and data analytics capabilities. Must have statistical programming experience (Matlab, R, SAS)....",Nothing_found
1766,New+York,"Quantitative MBS Risk Analyst-SAS, VBA",Analytic Recruiting,"New York, NY 10017 (Midtown area)","Data Analyst, Loan Data, Data Warehouse, Data Sets, SAS, Automation, Risk Reporting. Excel/VBA, SQL and SAS required, Matlab, R, Tableau-nice to have....",Nothing_found
82,New+York,Data Science Intern (Spring 2018),Applecart,"New York, NY","Applied, project or academic experience with hands-on machine learning. As a Data Scientist Intern, you will be experimenting with new data science product...",Nothing_found
166,New+York,Product Intern,Applecart,"New York, NY","Organize and present findings to product team, data scientists, engineers, and company leadership. Data analysis experience....",Nothing_found
424,New+York,"Data Scientist, Modeling Team",Applecart,"New York, NY","As a Data Scientist on our Modeling Team, you will be responsible for creation of powerful machine learning applications that leverage our social graph....",Nothing_found
191,New+York,Applied Data Scientist,Aptus Health,"New York, NY 10020 (Midtown area)","Applied Data Scientist, Tomorrow Networks. Bachelor’s/Masters degree in computer science or a related field with a focus on machine learning , data science,...",Nothing_found
1785,New+York,"Corporate Vice President, Lead Data Scientist",Artemis Consultants,"New York, NY","You will also ingest and wrangle data, propose analytics strategy, create related business cases, drive several large initiatives, build and implement solutions...",Nothing_found
332,New+York,Graduate Advanced Technology & Research Analyst,Arup,"New York, NY",We especially seek people who can balance deep technical knowledge with the ability to deliver practical solutions....,Nothing_found
1103,New+York,Production Associate,Ascend Learning,"New York, NY","Manage project plans, timelines, and budgets. Our team of 50+ people includes learning scientists, psychologists, software engineers, graphic artists, writers,...",Nothing_found
1122,New+York,Production Associate,Ascend Learning,"New York, NY","Manage project plans, timelines, and budgets. Our team of 50+ people includes learning scientists, psychologists, software engineers, graphic artists, writers,...",Nothing_found
1527,New+York,Equity Research Analyst,ASSET STAFFING,"New York, NY","FULL TIME SALARY COMMENSURATE WITH EXPERIENCE. You will monitor relevant market developments, fluctuations in stock prices and industry news on behalf of...",Nothing_found
1220,New+York,Big Data Consulting Architect,ATCSearch,"New York, NY",Interact with customers’ Data Scientists and Business Intelligence teams in developing the most effective analytics and advanced algorithms models that lead to...,Nothing_found
318,New+York,Statistical Programmer,Athenex,"Buffalo, NY",1 to 3 years of experience in statistical data reporting for clinical studies. Provide Statistical Programming Support for Clinical Data Analysis and Submission...,Nothing_found
427,New+York,Statistical Programmer,Athenex,"Buffalo, NY",1 to 3 years of experience in statistical data reporting for clinical studies. Provide Statistical Programming Support for Clinical Data Analysis and Submission...,Nothing_found
515,New+York,Senior Data Analyst,Atlantic Media,"New York, NY 10010 (Gramercy area)","Work with data scientists, engineers, and product managers to understand data needs. Manage relationships with third-party analytics companies and other vendors...",Nothing_found
